Tier,ServiceType,ServiceType1,DeviceType,DeviceModel,ServiceCategory,ServiceCategory1,IDF
Tier 1A,LAN-WLAN,lan_wlan,Access Management,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1B,LAN-WLAN,lan_wlan,Access Management,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1C,LAN-WLAN,lan_wlan,Access Management,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2A,LAN-WLAN,lan_wlan,Access Management,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2B,LAN-WLAN,lan_wlan,Access Management,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1A,LAN-WLAN,lan_wlan,Access Physical Security,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1B,LAN-WLAN,lan_wlan,Access Physical Security,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1C,LAN-WLAN,lan_wlan,Access Physical Security,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2A,LAN-WLAN,lan_wlan,Access Physical Security,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2B,LAN-WLAN,lan_wlan,Access Physical Security,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1A,LAN-WLAN,lan_wlan,Access Lab Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1B,LAN-WLAN,lan_wlan,Access Lab Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1C,LAN-WLAN,lan_wlan,Access Lab Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2A,LAN-WLAN,lan_wlan,Access Lab Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2B,LAN-WLAN,lan_wlan,Access Lab Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1A,Module(Line Card),module,10 Gbps MMF,Cisco SFP-10G-SR=,NetOps Services,net_ops,Yes
Tier 1A,Module(Line Card),module,1 Gbps MMF,Cisco SX-MMD=,NetOps Services,net_ops,Yes
Tier 1A,Module(Line Card),module,1 Gbps Copper,Cisco GLC-TE=,NetOps Services,net_ops,Yes
Tier 1A,Module(Line Card),module,10 Gbps SMF,Cisco SFP-10G-LR=,NetOps Services,net_ops,Yes
Tier 1B,Module(Line Card),module,10 Gbps MMF,Cisco SFP-10G-SR=,NetOps Services,net_ops,Yes
Tier 1B,Module(Line Card),module,1 Gbps MMF,Cisco SX-MMD=,NetOps Services,net_ops,Yes
Tier 1B,Module(Line Card),module,1 Gbps Copper,Cisco GLC-TE=,NetOps Services,net_ops,Yes
Tier 1B,Module(Line Card),module,10 Gbps SMF,Cisco SFP-10G-LR=,NetOps Services,net_ops,Yes
Tier 1C,Module(Line Card),module,10 Gbps MMF,Cisco SFP-10G-SR=,NetOps Services,net_ops,Yes
Tier 1C,Module(Line Card),module,1 Gbps MMF,Cisco SX-MMD=,NetOps Services,net_ops,Yes
Tier 1C,Module(Line Card),module,1 Gbps Copper,Cisco GLC-TE=,NetOps Services,net_ops,Yes
Tier 1C,Module(Line Card),module,10 Gbps SMF,Cisco SFP-10G-LR=,NetOps Services,net_ops,Yes
Tier 2A,Module(Line Card),module,10 Gbps MMF,Cisco SFP-10G-SR=,NetOps Services,net_ops,Yes
Tier 2A,Module(Line Card),module,1 Gbps MMF,Cisco SX-MMD=,NetOps Services,net_ops,Yes
Tier 2A,Module(Line Card),module,1 Gbps Copper,Cisco GLC-TE=,NetOps Services,net_ops,Yes
Tier 2A,Module(Line Card),module,10 Gbps SMF,Cisco SFP-10G-LR=,NetOps Services,net_ops,Yes
Tier 2B,Module(Line Card),module,10 Gbps MMF,Cisco SFP-10G-SR=,NetOps Services,net_ops,Yes
Tier 2B,Module(Line Card),module,1 Gbps MMF,Cisco SX-MMD=,NetOps Services,net_ops,Yes
Tier 2B,Module(Line Card),module,1 Gbps Copper,Cisco GLC-TE=,NetOps Services,net_ops,Yes
Tier 2B,Module(Line Card),module,10 Gbps SMF,Cisco SFP-10G-LR=,NetOps Services,net_ops,Yes
Tier 1C,Security,security,Gigamon,Gigamon HC1,Security Services,security,Yes
Tier 2A,Security,security,Gigamon,Gigamon HC1,Security Services,security,Yes
Tier 2B,Security,security,Gigamon,Gigamon HC1,Security Services,security,Yes
Tier 1C,Security,security,Security Footprint,Power Edge Dell R640,Security Services,security,Yes
Tier 2A,Security,security,Security Footprint,Power Edge Dell R640,Security Services,security,Yes
Tier 2B,Security,security,Security Footprint,Power Edge Dell R640,Security Services,security,Yes
Tier 1A,Security,security,Gigamon,Gigamon HC2,Security Services,security,Yes
Tier 1B,Security,security,Gigamon,Gigamon HC2,Security Services,security,Yes
Tier 1A,Security,security,Security Footprint,Power Edge Dell C6420,Security Services,security,Yes
Tier 1B,Security,security,Security Footprint,Power Edge Dell C6420,Security Services,security,Yes
